Item,Reference(s),Value,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part
1,"C1, C2",100nF,CAP-0603,2,0603B104K500NT,FH,LCSC,C30926
2,C3,220nF,CAP-0508,1,CC0805KRX7R8BB224,YAGEO,LCSC,C107139
3,C4,10uF,CASE-D-7343,1,TAJD106K035RNJ,Kyocera AVX,LCSC,C7221
4,C5,10uF,CASE-C-6032,1,TAJC106K016RNJ,Kyocera AVX,LCSC,C7209
5,D1,1N4007,DO-41_BD2.4-L4.7-P7.60-D0.9-RD,1,1N4007,SEMTECH,LCSC,C106903
6,"J1, J2, J3, J4",WJ15EDGRC-3.81-4P,"Push-Pull,P=3.81mm, 4P",4,WJ15EDGRC-3.81-4P,ReliaPro,LCSC,C7245
7,J5,Pin Header 1x2P,"Plugin,P=2.54mm, 1x2P",1,PZ254V-11-02P,XFCN,LCSC,C492401
8,"J7, J10",Female Header 2x19P,"Plugin,P=2.54mm, 2x19P",2,PM254-2-19-Z-8.5,HCTL,LCSC,C2897420
9,JP17,Jumper 1x2P,"P=2.54mm, 1x2P",1,Z-207002P0-0001,BOOMELE,LCSC,C5305
10,"R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27",0,R0603,15,0603WAJ0000T5E,UNI-ROYAL,LCSC,C15402
11,"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13",Test point,Keystone 5000,9,,,,
12,LED1,FC-2012HRK-620D,LED0805,1,NCD0805R1,Foshan NationStar,LCSC,C84256
13,LED2,17-21SYGC/S530-E3/TR8,LED0805,1,17-21SYGC/S530-E3/TR8,Everlight Elec,LCSC,C142303
14,"R1, R3, R4, R6",649,R1206,4,1206W4F6490T5E,UNI-ROYAL,LCSC,C247208
15,"R2, R5",120,R1206,2,1206W4F1200T5E,UNI-ROYAL,LCSC,C17909
16,R7,2.4k,R1206,1,1206W4J0242T5E,UNI-ROYAL,LCSC,C26039
17,R8,1.2k,R1206,1,1206W4F1201T5E,UNI-ROYAL,LCSC,C17891
18,"R9, R10, R11, R12",10k,R1206,4,RS-06K103JT,FH,LCSC,C118075
19,"U1, U2",MAX1487CSA+T,SOIC-8_3.9x4.9mm_P1.27mm,2,MAX1487CSA+T,MAXIM,LCSC,C8005
20,U3,KIA7812AF-RTF/P,TO-252-2_L6.5-W6.1-P4.58-LS10.0-TL,1,KIA7812AF-RTF/P,KEC Semicon,LCSC,C125239
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,, ,,,
