Designator,Mid X,Mid Y,Layer,Rot
C1,65.6,-105.1,top,270
C2,93.7375,-104.9,top,270
C3,52.6,-99.1,top,270
C4,90.7,-73.7,top,0
C5,71.8,-73.7,top,180
D1,66.99,-79.1,top,0
J1,47.9392,-124.1,top,0
J2,64.6392,-124.1,top,0
J3,81.3392,-124.1,top,0
J4,98.0392,-124.1,top,0
J5,60.9,-82.2,top,90
J7,46.99,-72.263,top,0
J10,107.95,-72.263,top,0
JP17,62.1,-82.2,top,90
LED1,92.9,-78.9,top,270
LED2,67.9,-84.8,top,0
R1,69.2,-104.6,top,0
R2,73.5,-110.1,top,270
R3,68.8,-115.8,top,180
R4,97.3,-104.5,top,0
R5,101.6,-109.7,top,270
R6,96.8,-115.8,top,180
R7,87.6,-78.7,top,90
R8,72.9,-84.8,top,180
R9,54,-108.9,top,180
R10,54,-111.3,top,180
R11,81.8,-108.6,top,180
R12,81.8,-111,top,180
TP1,76.1,-114.8,top,0
TP2,76,-104.9,top,0
TP3,62.2,-114.9,top,0
TP4,62.2,-104.9,top,0
TP5,54.9,-114.8,top,0
TP6,54.8,-105,top,0
TP7,104.3,-114.4,top,0
TP8,104.4,-105,top,0
TP9,90.1375,-114.9,top,0
TP10,90.1375,-104.85,top,0
TP11,82.5375,-114.8,top,0
TP12,82.5,-104.95,top,0
TP13,80.2,-85.1,top,0
U1,64.2,-110.1,top,0
U2,92.0375,-109.9,top,0
U3,80.3,-76.3,top,270
R13,65.85,-99.2,top,0
R14,65.85,-93.2,top,0
R15,65.85,-96.2,top,0
R16,65.85,-90.2,top,0
R17,88.9,-99.2,top,180
R18,88.9,-93.2,top,180
R19,88.9,-96.2,top,180
R20,88.9,-90.2,top,180
R21,86.9,-85.2,top,0
R22,58.5,-112.4,top,90
R23,86.2,-112.2,top,90
R24,70.2,-112.4,top,90
R25,70.2,-108.1,top,90
R26,98.3,-112.2,top,90
R27,98.3,-108.1,top,90
